Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
Trial # 49,layer9-17_T12_to_T8.jpg,layer9-17/layer9-17_T12_to_T8.jpg,TT,layer9-17,0,48,48,48,,,,,,,,,341.5124325,None,2,2.018647707,341.5124325,None,341.5124325,None,341.5124325,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 50,layer0-5_T10_to_T5.jpg,layer0-5/layer0-5_T10_to_T5.jpg,TT,layer0-5,0,49,49,49,,,,,,,,,343.6465739,None,1,7.777283508,343.6465739,None,343.6465739,None,343.6465739,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 51,layer6-8_O10_to_O8.jpg,layer6-8/layer6-8_O10_to_O8.jpg,OO,layer6-8,0,50,50,50,,,,,,,,,351.5328755,None,3,4.418373767,351.5328755,None,351.5328755,None,351.5328755,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 52,layer9-17_O3_to_O5.jpg,layer9-17/layer9-17_O3_to_O5.jpg,OO,layer9-17,0,51,51,51,,,,,,,,,356.0503406,None,2,1.597518308,356.0503406,None,356.0503406,None,356.0503406,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 53,layer6-8_T1_to_T12.jpg,layer6-8/layer6-8_T1_to_T12.jpg,TT,layer6-8,0,52,52,52,,,,,,,,,357.767066,None,3,2.425469323,357.767066,None,357.767066,None,357.767066,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 54,layer0-5_O4_to_O9.jpg,layer0-5/layer0-5_O4_to_O9.jpg,OO,layer0-5,0,53,53,53,,,,,,,,,360.2841031,None,1,6.182418189,360.2841031,None,360.2841031,None,360.2841031,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 55,layer0-5_O5_to_O9.jpg,layer0-5/layer0-5_O5_to_O9.jpg,OO,layer0-5,0,54,54,54,,,,,,,,,366.5871867,None,1,6.323787083,366.5871867,None,366.5871867,None,366.5871867,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 56,layer0-5_O1_to_O2.jpg,layer0-5/layer0-5_O1_to_O2.jpg,OO,layer0-5,0,55,55,55,,,,,,,,,373.0218936,None,1,1.160722219,373.0218936,None,373.0218936,None,373.0218936,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 57,layer9-17_T12_to_T3.jpg,layer9-17/layer9-17_T12_to_T3.jpg,TT,layer9-17,0,56,56,56,,,,,,,,,374.288946,None,2,1.6891174,374.288946,None,374.288946,None,374.288946,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 58,layer0-5_O7_to_O9.jpg,layer0-5/layer0-5_O7_to_O9.jpg,OO,layer0-5,0,57,57,57,,,,,,,,,376.0896945,None,1,1.589698869,376.0896945,None,376.0896945,None,376.0896945,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 59,layer0-5_T5_to_T9.jpg,layer0-5/layer0-5_T5_to_T9.jpg,TT,layer0-5,0,58,58,58,,,,,,,,,377.7906723,None,1,1.487825653,377.7906723,None,377.7906723,None,377.7906723,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 60,layer9-17_O1_to_O9.jpg,layer9-17/layer9-17_O1_to_O9.jpg,OO,layer9-17,0,59,59,59,,,,,,,,,379.374002,None,3,5.274979412,379.374002,None,379.374002,None,379.374002,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 61,layer0-5_O6_to_O7.jpg,layer0-5/layer0-5_O6_to_O7.jpg,OO,layer0-5,0,60,60,60,,,,,,,,,384.7587088,None,1,1.823140704,384.7587088,None,384.7587088,None,384.7587088,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 62,layer9-17_T5_to_T6.jpg,layer9-17/layer9-17_T5_to_T6.jpg,TT,layer9-17,0,61,61,61,,,,,,,,,386.6929643,None,3,13.11210292,386.6929643,None,386.6929643,None,386.6929643,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 63,layer9-17_T4_to_T9.jpg,layer9-17/layer9-17_T4_to_T9.jpg,TT,layer9-17,0,62,62,62,,,,,,,,,399.9140212,None,2,1.627192487,399.9140212,None,399.9140212,None,399.9140212,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
