Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,text_16.started,text_16.stopped,participant,session,date,expName,psychopyVersion,frameRate
Trial # 79,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9751.jpg,0,encoded_Group2_IMG_9751.jpg,,,,,0,78,78,78,,,,,,,,,,,,,,,,,,,402.2104357,None,,,1,0.803029377,404.677457,None,404.677457,None,,,403.494689,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 80,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0492.jpg,0,encoded_Group2_IMG_0492.jpg,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,405.5116185,None,,,0,0.045827352,407.9786788,None,407.9786788,None,,,406.8112827,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 81,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0535.jpg,1,Group1_IMG_0535.jpg,,,,,0,80,80,80,,,,,,,,,,,,,,,,,,,408.0463603,None,,,1,1.303777939,410.5287476,None,410.5287476,None,,,409.3633448,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 82,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0077.jpg,1,Group1_IMG_0077.jpg,,,,,0,81,81,81,,,,,,,,,,,,,,,,,,,411.8628441,None,,,0,1.628843524,414.3316558,None,414.3316558,None,,,413.163612,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 83,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_9702.jpg,0,encoded_Group2_IMG_9702.jpg,,,,,0,82,82,82,,,,,,,,,,,,,,,,,,,415.9803614,None,,,0,2.352566646,418.4319409,None,418.4319409,None,,,417.26422,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 84,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0357.jpg,1,Group1_IMG_0357.jpg,,,,,0,83,83,83,,,,,,,,,,,,,,,,,,,420.8159032,None,,,0,1.549058019,423.2834521,None,423.2834521,None,,,422.1159294,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 85,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9772.jpg,1,Group1_IMG_9772.jpg,,,,,0,84,84,84,,,,,,,,,,,,,,,,,,,424.8507968,None,,,1,0.722910181,427.3175899,None,427.3175899,None,,,426.1673651,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 86,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0482.jpg,1,Group1_IMG_0482.jpg,,,,,0,85,85,85,,,,,,,,,,,,,,,,,,,428.068451,None,,,1,0.592506413,430.5519943,None,430.5519943,None,,,429.3860083,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 87,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0299.jpg,1,Group1_IMG_0299.jpg,,,,,0,86,86,86,,,,,,,,,,,,,,,,,,,431.1689276,None,,,0,3.611690857,433.6367956,None,433.6367956,None,,,432.4691735,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 88,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0301.jpg,0,encoded_Group2_IMG_0301.jpg,,,,,0,87,87,87,,,,,,,,,,,,,,,,,,,437.2704821,None,,,0,0.517501596,439.7549366,None,439.7549366,None,,,438.5723677,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 89,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_5136.jpg,0,encoded_Group2_IMG_5136.jpg,,,,,0,88,88,88,,,,,,,,,,,,,,,,,,,440.3050503,None,,,0,1.827831573,442.7726672,None,442.7726672,None,,,441.605304,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 90,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0460.jpg,1,Group1_IMG_0460.jpg,,,,,0,89,89,89,,,,,,,,,,,,,,,,,,,444.6236742,None,,,1,1.093827377,447.106692,None,447.106692,None,,,445.9399726,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 91,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0068.jpg,0,encoded_Group2_IMG_0068.jpg,,,,,0,90,90,90,,,,,,,,,,,,,,,,,,,448.2251909,None,,,0,0.397233639,450.6912708,None,450.6912708,None,,,449.5254099,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 92,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0337.jpg,1,Group1_IMG_0337.jpg,,,,,0,91,91,91,,,,,,,,,,,,,,,,,,,451.1088411,None,,,0,0.126802781,453.5936971,None,453.5936971,None,,,452.4087251,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
Trial # 93,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0346.jpg,0,encoded_Group2_IMG_0346.jpg,,,,,0,92,92,92,,,,,,,,,,,,,,,,,,,453.7427133,None,,,0,0.070071519,456.2264295,None,456.2264295,None,,,455.0440633,None,,,,,,,Sheng-Kai Liao,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
