,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,Unnamed: 33
65,Trial # 66,layer0-5_T4_to_T7.jpg,layer0-5/layer0-5_T4_to_T7.jpg,TT,layer0-5,0.0,65.0,65.0,65.0,,,,,,,,,684.5993658863008,None,1.0,2.542349336203188,684.5993658863008,None,684.5993658863008,None,684.5993658863008,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
66,Trial # 67,layer0-5_O2_to_O6.jpg,layer0-5/layer0-5_O2_to_O6.jpg,OO,layer0-5,0.0,66.0,66.0,66.0,,,,,,,,,687.7341011879034,None,1.0,1.6255367486737669,687.7341011879034,None,687.7341011879034,None,687.7341011879034,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
67,Trial # 68,layer9-17_O12_to_T3.jpg,layer9-17/layer9-17_O12_to_T3.jpg,OT,layer9-17,0.0,67.0,67.0,67.0,,,,,,,,,689.7182967131957,None,2.0,1.6903751567006111,689.7182967131957,None,689.7182967131957,None,689.7182967131957,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
68,Trial # 69,layer9-17_O7_to_O9.jpg,layer9-17/layer9-17_O7_to_O9.jpg,OO,layer9-17,0.0,68.0,68.0,68.0,,,,,,,,,691.80271426728,None,4.0,5.159517186228186,691.80271426728,None,691.80271426728,None,691.80271426728,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
69,Trial # 70,layer9-17_T1_to_T8.jpg,layer9-17/layer9-17_T1_to_T8.jpg,TT,layer9-17,0.0,69.0,69.0,69.0,,,,,,,,,699.7554743760265,None,4.0,6.794416766148061,699.7554743760265,None,699.7554743760265,None,699.7554743760265,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
70,Trial # 71,layer0-5_O3_to_T8.jpg,layer0-5/layer0-5_O3_to_T8.jpg,OT,layer0-5,0.0,70.0,70.0,70.0,,,,,,,,,706.8399270949885,None,1.0,2.2872538920491934,706.8399270949885,None,706.8399270949885,None,706.8399270949885,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
71,Trial # 72,layer9-17_O9_to_T2.jpg,layer9-17/layer9-17_O9_to_T2.jpg,OT,layer9-17,0.0,71.0,71.0,71.0,,,,,,,,,709.4077031048946,None,3.0,3.120543537661433,709.4077031048946,None,709.4077031048946,None,709.4077031048946,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
72,Trial # 73,layer9-17_O5_to_O7.jpg,layer9-17/layer9-17_O5_to_O7.jpg,OO,layer9-17,0.0,72.0,72.0,72.0,,,,,,,,,716.8271737331524,None,2.0,5.0800099996849895,716.8271737331524,None,716.8271737331524,None,716.8271737331524,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
73,Trial # 74,layer0-5_T11_to_T9.jpg,layer0-5/layer0-5_T11_to_T9.jpg,TT,layer0-5,0.0,73.0,73.0,73.0,,,,,,,,,722.1280304091051,None,1.0,2.2783051589503884,722.1280304091051,None,722.1280304091051,None,722.1280304091051,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
74,Trial # 75,layer0-5_O11_to_T12.jpg,layer0-5/layer0-5_O11_to_T12.jpg,OT,layer0-5,0.0,74.0,74.0,74.0,,,,,,,,,724.7292478312738,None,1.0,2.9022381990216672,724.7292478312738,None,724.7292478312738,None,724.7292478312738,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
