,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
59,Trial # 60,layer9-17_O1_to_O9.jpg,layer9-17/layer9-17_O1_to_O9.jpg,OO,layer9-17,0.0,59.0,59.0,59.0,,,,,,,,,317.08966733608395,None,4.0,3.693207721924409,317.08966733608395,None,317.08966733608395,None,317.08966733608395,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
60,Trial # 61,layer0-5_O6_to_O7.jpg,layer0-5/layer0-5_O6_to_O7.jpg,OO,layer0-5,0.0,60.0,60.0,60.0,,,,,,,,,321.14113222807646,None,1.0,2.7549438229762018,321.14113222807646,None,321.14113222807646,None,321.14113222807646,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
61,Trial # 62,layer9-17_T5_to_T6.jpg,layer9-17/layer9-17_T5_to_T6.jpg,TT,layer9-17,0.0,61.0,61.0,61.0,,,,,,,,,324.2742232559249,None,2.0,2.3921334019396454,324.2742232559249,None,324.2742232559249,None,324.2742232559249,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
62,Trial # 63,layer9-17_T4_to_T9.jpg,layer9-17/layer9-17_T4_to_T9.jpg,TT,layer9-17,0.0,62.0,62.0,62.0,,,,,,,,,327.4594904431142,None,2.0,1.2231297309044749,327.4594904431142,None,327.4594904431142,None,327.4594904431142,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
63,Trial # 64,layer0-5_O11_to_T1.jpg,layer0-5/layer0-5_O11_to_T1.jpg,OT,layer0-5,0.0,63.0,63.0,63.0,,,,,,,,,329.1422946329694,None,1.0,2.364933948032558,329.1422946329694,None,329.1422946329694,None,329.1422946329694,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
64,Trial # 65,layer6-8_T5_to_T9.jpg,layer6-8/layer6-8_T5_to_T9.jpg,TT,layer6-8,0.0,64.0,64.0,64.0,,,,,,,,,332.17654888913967,None,4.0,4.381206064950675,332.17654888913967,None,332.17654888913967,None,332.17654888913967,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
65,Trial # 66,layer0-5_T4_to_T7.jpg,layer0-5/layer0-5_T4_to_T7.jpg,TT,layer0-5,0.0,65.0,65.0,65.0,,,,,,,,,336.9623884661123,None,1.0,2.47573369089514,336.9623884661123,None,336.9623884661123,None,336.9623884661123,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
66,Trial # 67,layer0-5_O2_to_O6.jpg,layer0-5/layer0-5_O2_to_O6.jpg,OO,layer0-5,0.0,66.0,66.0,66.0,,,,,,,,,339.74565929407254,None,1.0,0.9595575639978052,339.74565929407254,None,339.74565929407254,None,339.74565929407254,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
67,Trial # 68,layer9-17_O12_to_T3.jpg,layer9-17/layer9-17_O12_to_T3.jpg,OT,layer9-17,0.0,67.0,67.0,67.0,,,,,,,,,341.0630009791348,None,2.0,1.5760528040118515,341.0630009791348,None,341.0630009791348,None,341.0630009791348,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
68,Trial # 69,layer9-17_O7_to_O9.jpg,layer9-17/layer9-17_O7_to_O9.jpg,OO,layer9-17,0.0,68.0,68.0,68.0,,,,,,,,,342.8966069179587,None,4.0,4.312673144973815,342.8966069179587,None,342.8966069179587,None,342.8966069179587,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
69,Trial # 70,layer9-17_T1_to_T8.jpg,layer9-17/layer9-17_T1_to_T8.jpg,TT,layer9-17,0.0,69.0,69.0,69.0,,,,,,,,,348.4818471840117,None,4.0,6.812914178008214,348.4818471840117,None,348.4818471840117,None,348.4818471840117,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
70,Trial # 71,layer0-5_O3_to_T8.jpg,layer0-5/layer0-5_O3_to_T8.jpg,OT,layer0-5,0.0,70.0,70.0,70.0,,,,,,,,,355.8007750019897,None,1.0,3.763968952000141,355.8007750019897,None,355.8007750019897,None,355.8007750019897,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
